,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
86,9,23.46,1.85,0.255,6.34,1.88,20171204,4.76,3.04,-7.33,-6.69,31.81,14.85,17898.0,1,603917,603917,合力科技,汽车配件
87,25,18.23,3.0,0.67,7.97,2.87,20170711,8.26,3.27,10.1,31.48,36.19,27.9,12886.0,7,002884,002884,凌霄泵业,专用机械
88,32,8.62,0.34,0.54,4.71,1.97,19940311,19.08,3.05,89.68,149.09,34.42,9.65,74608.0,0,600846,600846,同济科技,建筑工程
89,26,19.1,1.27,0.075,3.04,0.94,20040706,7.82,0.7,-24.38,22.02,13.9,6.78,38193.0,3,600982,600982,宁波热电,供气供热
90,29,5.22,1.02,0.31,6.2,0.59,20100818,1254.94,2.39,9.03,-10.18,0.0,25.46,191688.0,0,601818,601818,光大银行,银行
91,44,22.56,3.41,0.21100000000000002,6.25,1.52,19980902,16.54,1.75,2.49,320.88,21.17,6.71,31000.0,3,000881,000881,中广核技,综合类
92,21,6.99,2.91,0.317,7.89,0.56,19930524,113.3,3.97,88.32,99.35,35.51,8.85,37734.0,0,600657,600657,信达地产,全国地产
93,45,21.19,2.04,0.38,5.84,2.31,20110127,16.45,2.08,14.94,21.92,17.36,6.55,28196.0,1,601137,601137,博威合金,铜
94,46,13.18,2.17,0.84,6.98,3.17,20010822,33.58,4.12,-24.46,-28.94,82.64,23.2,63831.0,8,600566,600566,济川药业,中成药
95,9,19.68,1.79,0.5920000000000001,8.07,2.89,20200911,20.85,3.21,0.0,0.0,33.66,17.95,132756.0,1,002984,002984,森麒麟,汽车配件
96,41,23.74,1.65,0.16399999999999998,3.41,2.28,20061226,13.24,0.82,-24.51,-46.43,46.89,20.31,56185.0,8,002099,002099,海翔药业,化学制药
97,47,8.39,1.13,0.937,4.93,3.19,20040623,66.3,2.58,37.17,373.27,29.58,14.25,83003.0,0,600143,600143,金发科技,塑料
98,9,12.8,0.01,0.59,6.14,2.46,20070430,408.42,5.15,4.0,-11.48,19.58,4.95,183187.0,0,000338,000338,潍柴动力,汽车配件
99,25,14.07,3.32,2.39,7.63,5.56,20170209,8.44,3.18,106.98,366.04,54.78,26.66,19382.0,6,300607,300607,拓斯达,专用机械
100,10,7.97,1.63,0.54,5.61,1.45,20001012,214.49,2.72,29.49,55.97,29.36,13.94,231777.0,0,000157,000157,中联重科,工程机械
101,9,19.87,5.91,0.44,10.26,1.67,20170406,7.17,3.52,-14.75,-14.55,33.52,13.02,17308.0,7,603586,603586,金麒麟,汽车配件
102,6,22.86,2.02,0.292,5.81,2.3,20170330,3.53,2.51,-2.47,19.86,43.27,24.76,9196.0,1,603041,603041,美思德,化工原料
103,10,12.31,0.43,0.544,6.91,1.94,19961009,33.79,4.57,8.34,15.03,20.18,7.42,33168.0,0,600761,600761,安徽合力,工程机械
104,48,21.58,3.43,0.7020000000000001,8.49,3.57,20180206,8.39,3.82,-33.93,-14.16,13.53,10.78,10129.0,7,603871,603871,嘉友国际,仓储物流
105,48,18.79,0.22,0.09,1.7,2.0,19970306,4.98,0.41,-21.12,-4.0,25.63,15.11,93061.0,3,600794,600794,保税科技,仓储物流
106,49,23.85,1.88,0.22,3.34,3.14,20000608,16.2,0.58,50.4,39.26,26.81,16.04,56564.0,3,000975,000975,银泰黄金,黄金
107,6,23.38,2.01,0.32,4.07,3.46,20100108,5.28,1.24,16.87,23.31,30.3,12.52,19429.0,1,300041,300041,回天新材,化工原料
108,22,23.42,2.29,0.456,5.55,3.85,20170622,3.16,1.97,24.98,46.84,27.46,12.1,11941.0,1,603380,603380,易德龙,元器件
109,50,18.26,2.61,0.52,6.5,2.76,20150128,8.58,3.21,50.47,14.77,23.08,6.84,12909.0,1,603611,603611,诺力股份,运输设备
110,47,15.46,0.57,0.24600000000000002,3.15,2.42,20111208,14.61,1.3,-0.04,39.58,23.69,9.87,22891.0,12,002641,002641,永高股份,塑料
111,3,17.57,1.1,0.218,6.03,1.27,20110602,42.23,3.76,-6.1,-20.4,19.45,6.01,50925.0,1,601311,601311,骆驼股份,电气设备
112,39,17.19,0.24,0.43,3.47,4.15,20100506,6.54,2.11,12.17,161.34,22.07,22.15,26028.0,1,002401,002401,中远海科,软件服务
113,41,21.48,2.45,0.5820000000000001,6.63,3.77,20040713,41.05,3.32,11.63,47.98,52.96,25.56,53192.0,8,002019,002019,亿帆医药,化学制药
114,7,14.69,1.78,1.117,6.77,4.84,20080418,36.3,3.62,36.74,109.86,57.17,32.72,110000.0,6,002223,002223,鱼跃医疗,医疗保健
115,11,21.12,4.6,0.161,6.5,1.05,19970522,3.65,0.79,-18.95,-13.54,59.96,56.3,36989.0,8,000722,000722,湖南发展,水力发电
116,51,15.36,1.91,0.384,6.56,1.79,20000706,31.89,3.19,-53.67,-42.34,19.95,9.95,85295.0,12,600260,600260,凯乐科技,通信设备
117,9,12.23,1.51,0.3,4.83,1.43,20100518,10.8,1.83,9.05,17.63,31.09,16.37,44614.0,1,002406,002406,远东传动,汽车配件
118,7,20.73,1.28,0.341,3.05,4.64,20091225,2.01,0.65,54.94,541.76,50.53,26.21,42000.0,1,300030,300030,阳普医疗,医疗保健
119,7,18.68,5.88,0.645,9.33,2.58,20100402,17.21,1.79,35.45,164.85,53.43,27.2,66197.0,7,002382,002382,蓝帆医疗,医疗保健
120,47,22.76,0.84,0.25,3.55,3.12,20040708,6.97,1.36,8.04,17.6,26.08,10.04,16262.0,1,002014,002014,永新股份,塑料
121,3,17.97,5.09,0.8420000000000001,11.56,2.62,20100121,107.87,5.02,1.26,1.49,31.33,12.39,35361.0,7,601877,601877,正泰电器,电气设备
